country_name,iso3c,date_latest_pub,risk_of_distress,joint_w_wb,date_latest_exec_board_not_published,country_notes,dsa_list_date
NA,NA,NA,6/28/2021,NA,NA,,2024-04-30
NA,NA,NA,12/14/2023,NA,NA,,2024-04-30
NA,NA,NA,1/5/2024,NA,NA,,2024-04-30
NA,NA,NA,5/24/2022,NA,NA,,2024-04-30
NA,NA,NA,10/3/2023,NA,NA,,2024-04-30
NA,NA,NA,7/25/2023,NA,NA,,2024-04-30
NA,NA,NA,1/31/2024,NA,NA,,2024-04-30
NA,NA,NA,2/22/2024,NA,NA,,2024-04-30
NA,NA,NA,1/16/2024,NA,NA,,2024-04-30
NA,NA,NA,11/6/2023,NA,NA,,2024-04-30
NA,NA,NA,1/23/2023,NA,NA,,2024-04-30
NA,NA,NA,1/8/2024,NA,NA,,2024-04-30
NA,NA,NA,7/5/2023,NA,NA,,2024-04-30
NA,NA,NA,1/12/2024,NA,NA,,2024-04-30
NA,NA,NA,12/12/2023,NA,NA,,2024-04-30
NA,NA,NA,5/12/2020,NA,NA,,2024-04-30
NA,NA,NA,7/5/2023,NA,NA,,2024-04-30
NA,NA,NA,NA,NA,NA,,2024-04-30
NA,NA,NA,5/6/2020,NA,NA,,2024-04-30
NA,NA,NA,1/18/2024,NA,NA,,2024-04-30
NA,NA,NA,1/25/2024,NA,NA,,2024-04-30
NA,NA,NA,7/19/2023,NA,NA,,2024-04-30
NA,NA,NA,1/23/2023,NA,NA,,2024-04-30
NA,NA,NA,12/12/2023,NA,NA,,2024-04-30
NA,NA,NA,2/7/2023,NA,NA,,2024-04-30
NA,NA,NA,9/22/2023,NA,NA,,2024-04-30
NA,NA,NA,1/17/2024,NA,NA,,2024-04-30
NA,NA,NA,9/15/2023,NA,NA,,2024-04-30
NA,NA,NA,3/4/2024,NA,NA,,2024-04-30
NA,NA,NA,5/22/2023,NA,NA,,2024-04-30
NA,NA,NA,7/20/2023,NA,NA,,2024-04-30
NA,NA,NA,9/14/2022,NA,NA,,2024-04-30
NA,NA,NA,3/21/2023,NA,NA,,2024-04-30
NA,NA,NA,11/22/2023,NA,NA,,2024-04-30
NA,NA,NA,11/11/2023,NA,NA,,2024-04-30
NA,NA,NA,6/14/2023,NA,NA,,2024-04-30
NA,NA,NA,10/26/2023,NA,NA,,2024-04-30
NA,NA,NA,12/22/2023,NA,NA,,2024-04-30
NA,NA,NA,3/4/2024,NA,NA,,2024-04-30
NA,NA,NA,12/19/2023,NA,NA,,2024-04-30
NA,NA,NA,1/16/2024,NA,NA,,2024-04-30
NA,NA,NA,1/28/2021,NA,NA,,2024-04-30
NA,NA,NA,5/4/2023,NA,NA,,2024-04-30
NA,NA,NA,1/19/2024,NA,NA,,2024-04-30
NA,NA,NA,7/12/2023,NA,NA,,2024-04-30
NA,NA,NA,12/6/2023,NA,NA,,2024-04-30
NA,NA,NA,12/18/2023,NA,NA,,2024-04-30
NA,NA,NA,3/15/2023,NA,NA,,2024-04-30
NA,NA,NA,9/20/2022,NA,NA,,2024-04-30
NA,NA,NA,7/7/2023,NA,NA,,2024-04-30
NA,NA,NA,11/27/2023,NA,NA,,2024-04-30
NA,NA,NA,5/12/2023,NA,NA,,2024-04-30
NA,NA,NA,12/20/2023,NA,NA,,2024-04-30
NA,NA,NA,3/9/2023,NA,NA,,2024-04-30
NA,NA,NA,11/17/2022,NA,NA,,2024-04-30
NA,NA,NA,7/1/2021,NA,NA,,2024-04-30
NA,NA,NA,3/28/2023,NA,NA,,2024-04-30
NA,NA,NA,4/28/2023,NA,NA,,2024-04-30
NA,NA,NA,2/27/2024,NA,NA,,2024-04-30
NA,NA,NA,3/22/2024,NA,NA,,2024-04-30
NA,NA,NA,11/3/2023,NA,NA,,2024-04-30
NA,NA,NA,7/21/2023,NA,NA,,2024-04-30
NA,NA,NA,6/23/2023,NA,NA,,2024-04-30
NA,NA,NA,6/22/2022,NA,NA,,2024-04-30
NA,NA,NA,3/22/2023,NA,NA,,2024-04-30
NA,NA,NA,9/24/2014,NA,NA,,2024-04-30
NA,NA,NA,12/20/2023,NA,NA,,2024-04-30
NA,NA,NA,4/8/2022,NA,NA,,2024-04-30
